GEOID,dac_status,nearest_sta_miles,second_nearest_sta_miles,stas_05mi,stas_10mi,stas_20mi,stas_55mi,stations,bg_sta1d,bg_sta2d
060014039001,not DAC status,1.3577523822426913,2.2956359359825047,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014039002,not DAC status,0.8066634791410775,2.7907025927930045,2,2,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014039003,not DAC status,0.7879378502082184,2.357816692783263,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014040001,not DAC status,1.3252191543916423,2.139680529433527,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014040002,not DAC status,1.5130361012819251,1.7914188942766103,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014041011,not DAC status,1.917283360109718,2.107813480067247,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014041012,not DAC status,1.6684858117888997,1.9325746232100653,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014041021,not DAC status,1.6441450913723874,1.953220980561694,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014041022,not DAC status,1.685428224812843,1.7477769315430505,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014042001,not DAC status,3.288157951141255,3.714571374630838,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014042002,not DAC status,3.5686305879571756,3.8349088931857436,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014042003,not DAC status,2.2725353383046785,2.7499726012628427,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014043001,not DAC status,2.751420513818458,3.7465085120785138,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014043002,not DAC status,2.2146777568334666,3.1332294259812508,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014043003,not DAC status,2.50179591289005,2.9282093363796338,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014044001,not DAC status,3.5555249914303984,4.550612989690454,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014044002,not DAC status,3.912421130948051,4.125370763852496,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014044003,not DAC status,4.371835628985777,4.994752407961068,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014045011,not DAC status,3.2183383038518842,4.84590539840698,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014045021,not DAC status,4.915989857841499,5.538906636816789,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014045022,not DAC status,4.686660416596579,5.851480761302199,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014045023,not DAC status,5.691867276871612,6.521105390265775,0,2,6,16,20,Nearest station 5-10 miles away,Second-nearest station 5-10 miles away
060014045024,not DAC status,4.155565889233395,5.320386233939015,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014046001,not DAC status,4.752580814606529,5.917401159312149,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014046002,not DAC status,5.673568055981694,7.265865907382376,0,2,6,16,20,Nearest station 5-10 miles away,Second-nearest station 5-10 miles away
060014046003,not DAC status,4.814553459832015,6.406851311232695,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014046004,not DAC status,5.653611382271078,7.245909233671758,0,2,5,16,20,Nearest station 5-10 miles away,Second-nearest station 5-10 miles away
060014047001,not DAC status,2.815112819368716,5.159161566071834,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014047002,not DAC status,3.2261824711100093,5.570231217813128,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014048001,not DAC status,2.7881410980948695,5.1321898447979875,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014048002,not DAC status,2.840319255785922,5.184368002489041,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014049001,not DAC status,2.2494142872782663,4.593463033981385,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014049002,not DAC status,2.236463534392887,4.580512281096006,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014049003,not DAC status,1.834260093593106,4.178308840296225,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014049004,not DAC status,1.8290162773280174,4.173065024031136,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014050001,not DAC status,2.2982758039512774,4.642324550654396,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014050002,not DAC status,1.9985245601701829,4.342573306873302,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014050003,not DAC status,1.475116296698195,3.819165043401313,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014051001,not DAC status,1.6567216876335182,3.984446318739695,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014051002,not DAC status,1.348263976190732,3.6759886072969086,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014051003,not DAC status,1.0099555184792892,3.337680149585466,2,2,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014051004,not DAC status,1.0093336279320255,3.3370582590382023,2,2,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014051005,not DAC status,1.475129647832523,3.8028542789386997,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014052001,not DAC status,1.0009195125039367,3.348464046844538,2,2,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014052002,not DAC status,1.7797707035631418,3.8891157930139904,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014052003,not DAC status,0.6599377233521103,3.007482257692711,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014052004,not DAC status,0.5262968720260618,2.873841406366663,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
